"DateTime","depth","temp","DateTime_H"
"2017-04-10 11:45:00",3,11.7,2017-04-10 11:00:00
"2017-04-10 11:45:00",4,11,2017-04-10 11:00:00
"2017-04-10 11:45:00",5,9.5,2017-04-10 11:00:00
"2017-04-10 11:45:00",6,8.5,2017-04-10 11:00:00
"2017-04-10 11:45:00",8,8.1,2017-04-10 11:00:00
"2017-04-10 11:45:00",9,7.8,2017-04-10 11:00:00
"2017-04-10 11:45:00",9.2,7.8,2017-04-10 11:00:00
"2017-04-16 12:00:00",0.1,19.0712,2017-04-16 12:00:00
"2017-04-16 12:00:00",1,17.6792,2017-04-16 12:00:00
"2017-04-16 12:00:00",2,13.854,2017-04-16 12:00:00
"2017-04-16 12:00:00",3,11.6361,2017-04-16 12:00:00
"2017-04-16 12:00:00",4,10.5119,2017-04-16 12:00:00
"2017-04-16 12:00:00",5,9.0327,2017-04-16 12:00:00
"2017-04-16 12:00:00",6,8.3336,2017-04-16 12:00:00
"2017-04-16 12:00:00",7,8.15,2017-04-16 12:00:00
"2017-04-16 12:00:00",8,8.0752,2017-04-16 12:00:00
"2017-04-16 12:00:00",9,8.0094,2017-04-16 12:00:00
"2017-04-16 12:00:00",9.2,8.0004,2017-04-16 12:00:00
"2017-04-17 10:04:00",0.1,18.05,2017-04-17 10:00:00
"2017-04-17 10:04:00",2,17.3,2017-04-17 10:00:00
"2017-04-17 10:04:00",4,12,2017-04-17 10:00:00
"2017-04-17 10:04:00",5,10.3,2017-04-17 10:00:00
"2017-04-17 10:04:00",6,8.9,2017-04-17 10:00:00
"2017-04-17 10:04:00",8,8.3,2017-04-17 10:00:00
"2017-04-17 10:04:00",9,8.1,2017-04-17 10:00:00
"2017-04-17 10:04:00",9.2,8.1,2017-04-17 10:00:00
"2017-04-23 12:00:00",0.1,16.1635,2017-04-23 12:00:00
"2017-04-23 12:00:00",1,16.0313,2017-04-23 12:00:00
"2017-04-23 12:00:00",2,14.2371,2017-04-23 12:00:00
"2017-04-23 12:00:00",3,12.2878,2017-04-23 12:00:00
"2017-04-23 12:00:00",4,10.4422,2017-04-23 12:00:00
"2017-04-23 12:00:00",5,8.9724,2017-04-23 12:00:00
"2017-04-23 12:00:00",6,8.9102,2017-04-23 12:00:00
"2017-04-23 12:00:00",7,8.9566,2017-04-23 12:00:00
"2017-04-23 12:00:00",8,8.9704,2017-04-23 12:00:00
"2017-04-23 12:00:00",9,8.9402,2017-04-23 12:00:00
"2017-04-23 12:00:00",9.2,8.9413,2017-04-23 12:00:00
"2017-04-30 12:00:00",0.1,19.4914,2017-04-30 12:00:00
"2017-04-30 12:00:00",1,17.6644,2017-04-30 12:00:00
"2017-04-30 12:00:00",2,14.4583,2017-04-30 12:00:00
"2017-04-30 12:00:00",3,12.0095,2017-04-30 12:00:00
"2017-04-30 12:00:00",4,10.2747,2017-04-30 12:00:00
"2017-04-30 12:00:00",5,9.3758,2017-04-30 12:00:00
"2017-04-30 12:00:00",6,9.351,2017-04-30 12:00:00
"2017-04-30 12:00:00",7,9.3382,2017-04-30 12:00:00
"2017-04-30 12:00:00",8,9.3325,2017-04-30 12:00:00
