"DateTime","Depth_m","DIC_mgL","CAR_dic"
2018-01-15 11:00:00,0.1,6,114.253070551271
2018-01-15 11:00:00,1.6,6,114.253070551271
2018-01-15 11:00:00,3.8,5.8,110.444634866229
2018-01-15 11:00:00,5,5.8,110.444634866229
2018-01-15 11:00:00,6.2,6.1,116.157288393792
2018-01-15 11:00:00,8,5.9,112.34885270875
2018-01-15 11:00:00,9,5.6,106.636199181186
2018-02-19 11:00:00,0.1,4.4,83.7855850709321
2018-02-19 11:00:00,1.6,4.2,79.9771493858897
2018-02-19 11:00:00,3.8,4.8,91.4024564410169
2018-02-19 11:00:00,5,4.4,83.7855850709321
2018-02-19 11:00:00,6.2,4.4,83.7855850709321
2018-02-19 11:00:00,8,4.4,83.7855850709321
2018-02-19 11:00:00,9,4.6,87.5940207559745
2018-03-19 11:00:00,1.6,4.3,81.8813672284109
2018-03-19 11:00:00,3.8,4.5,85.6898029134533
2018-03-19 11:00:00,6.2,4.5,85.6898029134533
2018-03-19 11:00:00,8,4.2,79.9771493858897
2018-03-19 11:00:00,9,4.3,81.8813672284109
2018-04-04 11:00:00,0.1,4.1,78.0729315433686
2018-04-04 11:00:00,1.6,4,76.1687137008474
2018-04-04 11:00:00,3.8,4.3,81.8813672284109
2018-04-04 11:00:00,5,4.4,83.7855850709321
2018-04-04 11:00:00,6.2,4.3,81.8813672284109
2018-04-04 11:00:00,8,4.4,83.7855850709321
2018-04-04 11:00:00,9,4.2,79.9771493858897
2018-04-10 11:00:00,0.1,4.1,78.0729315433686
2018-04-10 11:00:00,5,4.2,79.9771493858897
2018-04-10 11:00:00,9,4.2,79.9771493858897
2018-04-23 11:00:00,0.1,3.9,74.2644958583262
2018-04-23 11:00:00,1.6,4,76.1687137008474
2018-04-23 11:00:00,3.8,4.2,79.9771493858897
2018-04-23 11:00:00,5,4.4,83.7855850709321
2018-04-23 11:00:00,6.2,4,76.1687137008474
2018-04-23 11:00:00,8,4.1,78.0729315433686
2018-04-23 11:00:00,9,4.2,79.9771493858897
2018-04-30 11:00:00,0.1,3.7,70.4560601732838
2018-04-30 11:00:00,1.6,3.8,72.360278015805
2018-04-30 11:00:00,3.8,3.8,72.360278015805
2018-04-30 11:00:00,5,4,76.1687137008474
2018-04-30 11:00:00,6.2,4,76.1687137008474
2018-04-30 11:00:00,8,4.3,81.8813672284109
2018-04-30 11:00:00,9,4.2,79.9771493858897
2018-04-30 11:00:00,10,4.3,81.8813672284109
2018-05-07 11:00:00,0.1,3.7,70.4560601732838
2018-05-07 11:00:00,1.6,3.9,74.2644958583262
2018-05-07 11:00:00,3.8,3.9,74.2644958583262
2018-05-07 11:00:00,5,4.1,78.0729315433686
2018-05-07 11:00:00,6.2,3.7,70.4560601732838
2018-05-07 11:00:00,8,4.5,85.6898029134533
2018-05-07 11:00:00,9,4.3,81.8813672284109
2018-05-14 11:00:00,0.1,3.9,74.2644958583262
2018-05-14 11:00:00,1.6,4,76.1687137008474
2018-05-14 11:00:00,3.8,3.9,74.2644958583262
2018-05-14 11:00:00,5,4.2,79.9771493858897
2018-05-14 11:00:00,6.2,4.4,83.7855850709321
2018-05-14 11:00:00,8,4.3,81.8813672284109
2018-05-14 11:00:00,9,4.2,79.9771493858897
2018-05-14 11:00:00,10,4.1,78.0729315433686
2018-05-21 11:00:00,0.1,3.4,64.7434066457203
2018-05-21 11:00:00,1.6,3.1,59.0307531181567
2018-05-21 11:00:00,3.8,3.5,66.6476244882415
2018-05-21 11:00:00,5,3.9,74.2644958583262
2018-05-21 11:00:00,6.2,4.3,81.8813672284109
2018-05-21 11:00:00,8,4.4,83.7855850709321
2018-05-21 11:00:00,9,4.4,83.7855850709321
2018-05-21 11:00:00,10,4.5,85.6898029134533
2018-05-28 11:00:00,0.1,3.1,59.0307531181567
2018-05-28 11:00:00,1.6,3.1,59.0307531181567
2018-05-28 11:00:00,3.8,3.6,68.5518423307626
2018-05-28 11:00:00,5,4.4,83.7855850709321
2018-05-28 11:00:00,6.2,4.4,83.7855850709321
2018-05-28 11:00:00,8,4.4,83.7855850709321
2018-05-28 11:00:00,9,4.4,83.7855850709321
2018-05-28 11:00:00,10,3.8,72.360278015805
2018-06-04 11:00:00,0.1,3.3,62.8391888031991
2018-06-04 11:00:00,1.6,3.4,64.7434066457203
2018-06-04 11:00:00,3.8,3.9,74.2644958583262
2018-06-04 11:00:00,5,3.9,74.2644958583262
2018-06-04 11:00:00,6.2,5,95.2108921260592
2018-06-04 11:00:00,8,4.3,81.8813672284109
2018-06-04 11:00:00,9,4.7,89.4982385984957
