"DateTime","Depth","ch4_obs","DateTime_H"
2016-12-02 12:00:00,0.1,0.2334458225,2016-12-02 12:00:00
2016-12-02 12:00:00,1.6,0.266622468,2016-12-02 12:00:00
2016-12-02 12:00:00,3.8,0.251818036,2016-12-02 12:00:00
2016-12-02 12:00:00,5,0.2042485635,2016-12-02 12:00:00
2016-12-02 12:00:00,6.2,0.2097197315,2016-12-02 12:00:00
2016-12-02 12:00:00,8,0.1550607955,2016-12-02 12:00:00
2016-12-02 12:00:00,9,0.165653622,2016-12-02 12:00:00
2017-02-07 12:00:00,0.1,0.0798668815,2017-02-07 12:00:00
2017-02-07 12:00:00,1.6,0.0874002415,2017-02-07 12:00:00
2017-02-07 12:00:00,3.8,0.0897924775,2017-02-07 12:00:00
2017-02-07 12:00:00,5,0.086146095,2017-02-07 12:00:00
2017-02-07 12:00:00,6.2,0.0874896305,2017-02-07 12:00:00
2017-02-07 12:00:00,8,0.0878625735,2017-02-07 12:00:00
2017-02-07 12:00:00,9,0.08490661,2017-02-07 12:00:00
2017-02-27 12:00:00,0.1,0.0938506665,2017-02-27 12:00:00
2017-02-27 12:00:00,1.6,0.0970608965,2017-02-27 12:00:00
2017-02-27 12:00:00,3.8,0.091047343,2017-02-27 12:00:00
2017-02-27 12:00:00,5,0.0873446305,2017-02-27 12:00:00
2017-02-27 12:00:00,6.2,0.0800734445,2017-02-27 12:00:00
2017-02-27 12:00:00,8,0.0784464415,2017-02-27 12:00:00
2017-02-27 12:00:00,9,0.084961437,2017-02-27 12:00:00
2017-03-13 12:00:00,0.1,0.0795342955,2017-03-13 12:00:00
2017-03-13 12:00:00,1.6,0.0791141035,2017-03-13 12:00:00
2017-03-13 12:00:00,3.8,0.082424493,2017-03-13 12:00:00
2017-03-13 12:00:00,5,0.083444825,2017-03-13 12:00:00
2017-03-13 12:00:00,6.2,0.089534158,2017-03-13 12:00:00
2017-03-13 12:00:00,8,0.1039167105,2017-03-13 12:00:00
2017-03-13 12:00:00,9,0.111218842,2017-03-13 12:00:00
2017-03-27 12:00:00,0.1,0.085018689,2017-03-27 12:00:00
2017-03-27 12:00:00,1.6,0.0965450635,2017-03-27 12:00:00
2017-03-27 12:00:00,3.8,0.0911710425,2017-03-27 12:00:00
2017-03-27 12:00:00,5,0.0881886675,2017-03-27 12:00:00
2017-03-27 12:00:00,6.2,0.0831835065,2017-03-27 12:00:00
2017-03-27 12:00:00,9,0.0865866605,2017-03-27 12:00:00
2017-04-10 12:00:00,0.1,0.10857854,2017-04-10 12:00:00
2017-04-10 12:00:00,1.6,0.106533713,2017-04-10 12:00:00
2017-04-10 12:00:00,3.8,0.127189016,2017-04-10 12:00:00
2017-04-10 12:00:00,5,0.1287461575,2017-04-10 12:00:00
2017-04-10 12:00:00,6.2,0.14507469,2017-04-10 12:00:00
2017-04-10 12:00:00,8,0.1214878915,2017-04-10 12:00:00
2017-04-10 12:00:00,9,0.1164253,2017-04-10 12:00:00
2017-04-17 12:00:00,0.1,0.1687312395,2017-04-17 12:00:00
2017-04-17 12:00:00,1.6,0.165863105,2017-04-17 12:00:00
2017-04-17 12:00:00,3.8,0.138481051,2017-04-17 12:00:00
2017-04-17 12:00:00,5,0.137713592,2017-04-17 12:00:00
2017-04-17 12:00:00,6.2,0.127653186,2017-04-17 12:00:00
2017-04-17 12:00:00,8,0.085533446,2017-04-17 12:00:00
2017-04-17 12:00:00,9,0.0662826195,2017-04-17 12:00:00
2017-04-24 12:00:00,0.1,0.248115212,2017-04-24 12:00:00
2017-04-24 12:00:00,1.6,0.254448793,2017-04-24 12:00:00
2017-04-24 12:00:00,3.8,0.274326672,2017-04-24 12:00:00
2017-04-24 12:00:00,5,0.1931537155,2017-04-24 12:00:00
2017-04-24 12:00:00,6.2,0.115216583,2017-04-24 12:00:00
2017-04-24 12:00:00,8,0.1127359725,2017-04-24 12:00:00
2017-04-24 12:00:00,9,0.101412937,2017-04-24 12:00:00
2017-05-05 12:00:00,0.1,0.2097293925,2017-05-05 12:00:00
2017-05-05 12:00:00,1.6,0.306239346,2017-05-05 12:00:00
2017-05-05 12:00:00,3.8,0.27373086,2017-05-05 12:00:00
2017-05-05 12:00:00,5,0.1428330605,2017-05-05 12:00:00
2017-05-05 12:00:00,6.2,0.1473569665,2017-05-05 12:00:00
2017-05-05 12:00:00,8,0.100487447,2017-05-05 12:00:00
2017-05-05 12:00:00,9,0.1033455285,2017-05-05 12:00:00
2017-05-08 12:00:00,0.1,0.2388656075,2017-05-08 12:00:00
2017-05-08 12:00:00,1.6,0.2376029315,2017-05-08 12:00:00
2017-05-08 12:00:00,3.8,0.238122076,2017-05-08 12:00:00
2017-05-08 12:00:00,5,0.190324076,2017-05-08 12:00:00
2017-05-08 12:00:00,6.2,0.130308156,2017-05-08 12:00:00
2017-05-08 12:00:00,8,0.0833413325,2017-05-08 12:00:00
2017-05-08 12:00:00,9,0.092522955,2017-05-08 12:00:00
2017-05-15 12:00:00,0.1,0.166191413,2017-05-15 12:00:00
2017-05-15 12:00:00,1.6,0.227241617,2017-05-15 12:00:00
2017-05-15 12:00:00,3.8,0.188197806,2017-05-15 12:00:00
2017-05-15 12:00:00,5,0.1253164155,2017-05-15 12:00:00
2017-05-15 12:00:00,6.2,0.1310119315,2017-05-15 12:00:00
2017-05-15 12:00:00,8,0.071518116,2017-05-15 12:00:00
2017-05-15 12:00:00,9,0.0710139795,2017-05-15 12:00:00
2017-05-22 12:00:00,0.1,0.3100488205,2017-05-22 12:00:00
2017-05-22 12:00:00,1.6,0.3668456835,2017-05-22 12:00:00
2017-05-22 12:00:00,3.8,0.140417078,2017-05-22 12:00:00
2017-05-22 12:00:00,5,0.083215262,2017-05-22 12:00:00
2017-05-22 12:00:00,6.2,0.0643748455,2017-05-22 12:00:00
2017-05-22 12:00:00,8,0.1280973795,2017-05-22 12:00:00
2017-05-22 12:00:00,9,0.078402741,2017-05-22 12:00:00
2017-05-29 12:00:00,0.1,0.21481927,2017-05-29 12:00:00
2017-05-29 12:00:00,1.6,0.246459962,2017-05-29 12:00:00
2017-05-29 12:00:00,3.8,0.06361909,2017-05-29 12:00:00
2017-05-29 12:00:00,5,0.0755341875,2017-05-29 12:00:00
2017-05-29 12:00:00,6.2,0.0813143765,2017-05-29 12:00:00
2017-05-29 12:00:00,8,0.0673446335,2017-05-29 12:00:00
2017-05-29 12:00:00,9,0.083684402,2017-05-29 12:00:00
2017-05-30 12:00:00,0.1,0.290172945,2017-05-30 12:00:00
2017-05-30 12:00:00,1.6,0.243228814,2017-05-30 12:00:00
2017-05-30 12:00:00,3.8,0.173428064,2017-05-30 12:00:00
2017-05-30 12:00:00,5,0.086625178,2017-05-30 12:00:00
2017-05-30 12:00:00,6.2,0.1302346005,2017-05-30 12:00:00
2017-05-30 12:00:00,8,0.080091148,2017-05-30 12:00:00
2017-05-30 12:00:00,9,0.086625178,2017-05-30 12:00:00
2017-06-01 12:00:00,0.1,0.2137430255,2017-06-01 12:00:00
2017-06-01 12:00:00,1.6,0.189546953,2017-06-01 12:00:00
2017-06-01 12:00:00,3.8,0.148974422,2017-06-01 12:00:00
2017-06-01 12:00:00,5,0.1172187445,2017-06-01 12:00:00
2017-06-01 12:00:00,6.2,0.1639358665,2017-06-01 12:00:00
2017-06-01 12:00:00,8,0.1271788,2017-06-01 12:00:00
2017-06-01 12:00:00,9,0.1482631915,2017-06-01 12:00:00
2017-06-05 12:00:00,0.1,0.1933860035,2017-06-05 12:00:00
2017-06-05 12:00:00,1.6,0.262352809,2017-06-05 12:00:00
2017-06-05 12:00:00,3.8,0.114766119,2017-06-05 12:00:00
2017-06-05 12:00:00,5,0.0489408575,2017-06-05 12:00:00
2017-06-05 12:00:00,6.2,0.058607428,2017-06-05 12:00:00
2017-06-05 12:00:00,8,0.069266772,2017-06-05 12:00:00
2017-06-05 12:00:00,9,0.065976336,2017-06-05 12:00:00
