"DateTime","depth","oxy","OXY_mmol","DateTime_H"
"2016-12-02 14:35:12",0.1,8.91667,278.6459375,2016-12-02 14:00:00
"2016-12-02 14:35:12",1,8.51715,266.1609375,2016-12-02 14:00:00
"2016-12-02 14:35:12",2,8.45817,264.3178125,2016-12-02 14:00:00
"2016-12-02 14:35:12",3,10.1825,318.203125,2016-12-02 14:00:00
"2016-12-02 14:35:12",4,10.09994,315.623125,2016-12-02 14:00:00
"2016-12-02 14:35:12",5,9.82419,307.0059375,2016-12-02 14:00:00
"2016-12-02 14:35:12",6,9.73295,304.1546875,2016-12-02 14:00:00
"2016-12-02 14:35:12",7,9.66685,302.0890625,2016-12-02 14:00:00
"2016-12-02 14:35:12",8,9.57472,299.21,2016-12-02 14:00:00
"2016-12-02 14:35:12",9,9.56062,298.769375,2016-12-02 14:00:00
"2016-12-02 14:35:12",9.2,9.56957,299.0490625,2016-12-02 14:00:00
"2017-02-06 09:30:00",0.1,12.68,396.25,2017-02-06 09:00:00
"2017-02-06 09:30:00",1,12.58,393.125,2017-02-06 09:00:00
"2017-02-06 09:30:00",2,12.6,393.75,2017-02-06 09:00:00
"2017-02-06 09:30:00",3,12.57,392.8125,2017-02-06 09:00:00
"2017-02-06 09:30:00",4,12.56,392.5,2017-02-06 09:00:00
"2017-02-06 09:30:00",5,12.52,391.25,2017-02-06 09:00:00
"2017-02-06 09:30:00",6,12.51,390.9375,2017-02-06 09:00:00
"2017-02-27 09:50:00",0.1,11.485,358.90625,2017-02-27 09:00:00
"2017-02-27 09:50:00",1,11.52,360,2017-02-27 09:00:00
"2017-02-27 09:50:00",2,11.53,360.3125,2017-02-27 09:00:00
"2017-02-27 09:50:00",3,11.7,365.625,2017-02-27 09:00:00
"2017-02-27 09:50:00",4,11.64,363.75,2017-02-27 09:00:00
"2017-02-27 09:50:00",5,11.25,351.5625,2017-02-27 09:00:00
"2017-02-27 09:50:00",6,10.78,336.875,2017-02-27 09:00:00
"2017-02-27 09:50:00",8,10.46,326.875,2017-02-27 09:00:00
"2017-02-27 09:50:00",9,10.12,316.25,2017-02-27 09:00:00
