"depth_new","ID","temp","weight","obs_group"
0.1,"wq0.1_t_1",7.8,0.1754904,"temp_0.1"
0.1,"wq0.1_t_2",7.8657,0.1754904,"temp_0.1"
0.1,"wq0.1_t_3",8.1,0.1754904,"temp_0.1"
0.1,"wq0.1_t_4",11.696,0.1754904,"temp_0.1"
0.1,"wq0.1_t_5",12.4,0.1754904,"temp_0.1"
0.1,"wq0.1_t_6",13.4659,0.1754904,"temp_0.1"
0.1,"wq0.1_t_7",13.9,0.1754904,"temp_0.1"
0.1,"wq0.1_t_8",19.0712,0.1754904,"temp_0.1"
0.1,"wq0.1_t_9",18.05,0.1754904,"temp_0.1"
0.1,"wq0.1_t_10",16.1635,0.1754904,"temp_0.1"
0.1,"wq0.1_t_11",19.4914,0.1754904,"temp_0.1"
0.1,"wq0.1_t_12",19.65,0.1754904,"temp_0.1"
0.1,"wq0.1_t_13",17.1867,0.1754904,"temp_0.1"
0.1,"wq0.1_t_14",14.9571,0.1754904,"temp_0.1"
0.1,"wq0.1_t_15",14.95,0.1754904,"temp_0.1"
0.1,"wq0.1_t_16",15.0035,0.1754904,"temp_0.1"
0.1,"wq0.1_t_17",17.5529,0.1754904,"temp_0.1"
0.1,"wq0.1_t_18",17.3,0.1754904,"temp_0.1"
0.1,"wq0.1_t_19",22.3,0.1754904,"temp_0.1"
0.1,"wq0.1_t_20",19.3,0.1754904,"temp_0.1"
0.1,"wq0.1_t_21",18.3,0.1754904,"temp_0.1"
0.1,"wq0.1_t_22",20.6,0.1754904,"temp_0.1"
0.1,"wq0.1_t_23",21.1,0.1754904,"temp_0.1"
0.1,"wq0.1_t_24",21.9,0.1754904,"temp_0.1"
0.1,"wq0.1_t_25",21.8,0.1754904,"temp_0.1"
0.1,"wq0.1_t_26",20.1,0.1754904,"temp_0.1"
0.1,"wq0.1_t_27",23.1,0.1754904,"temp_0.1"
0.1,"wq0.1_t_28",25.5,0.1754904,"temp_0.1"
0.1,"wq0.1_t_29",24.2,0.1754904,"temp_0.1"
0.1,"wq0.1_t_30",23.6346,0.1754904,"temp_0.1"
0.1,"wq0.1_t_31",25.5055,0.1754904,"temp_0.1"
0.1,"wq0.1_t_32",22.05,0.1754904,"temp_0.1"
0.1,"wq0.1_t_33",25.4938,0.1754904,"temp_0.1"
