"Depth","ID","ch4_obs","weight","obs_group"
0.1,"wq0.1_ch4_41",0.198091,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_42",0.23116415,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_43",0.3868581,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_44",0.487841,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_45",0.7899819,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_46",0.4453842,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_47",0.4536376,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_48",0.31364395,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_49",0.38368345,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_50",0.3062201,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_51",0.5109402,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_52",0.320957,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_53",0.2770725,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_54",0.2905882,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_55",0.3477675,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_56",0.3331443,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_57",0.3496689,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_58",0.6334854,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_59",0.2571677,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_60",0.3401911,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_61",0.04883295,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_62",0.01958258,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_63",0.89696265,0.05263655,"ch4_0.1"
0.1,"wq0.1_ch4_64",0.0155036,0.05263655,"ch4_0.1"
1.6,"wq1.6_ch4_1",0.0970608965,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_2",0.0791141035,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_3",0.0965450635,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_4",0.106533713,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_5",0.165863105,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_6",0.254448793,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_7",0.306239346,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_8",0.2376029315,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_9",0.227241617,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_10",0.3668456835,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_11",0.246459962,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_12",0.243228814,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_13",0.189546953,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_14",0.262352809,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_15",0.227091613,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_16",0.336256024,0.05263655,"ch4_1.6"
1.6,"wq1.6_ch4_17",0.2681466095,0.05263655,"ch4_1.6"
